Loading Anaconda 3 2024.02-1
SCENARIO_NAME=cf_obs20_dense
EXP_VERSION=v7
TOTAL_TIMESTEPS=500000
N_ENVS=8
ATTN_MODE=learned
X_INDEX=1
VX_INDEX=3
ORACLE_RULE=leader_x
TTC_EPS=1e-6
ppo_attn_learned_cf_obs20_dense_v7_seed0 obs shape: (20, 5) action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to runs/tb/ppo_attn_learned_cf_obs20_dense_v7_seed0_1
---------------------------------
| rollout/           |          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.017034952 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.995       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0666      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0217     |
|    std                  | 0.952       |
|    value_loss           | 0.0683      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.8        |
|    ep_rew_mean          | -0.499      |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 7           |
|    time_elapsed         | 465         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.018680044 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0192      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0213     |
|    std                  | 0.887       |
|    value_loss           | 0.0703      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15.3        |
|    ep_rew_mean          | -0.437      |
| time/                   |             |
|    fps                  | 245         |
|    iterations           | 8           |
|    time_elapsed         | 533         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.019219035 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.24       |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00978     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0204     |
|    std                  | 0.827       |
|    value_loss           | 0.0692      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.4        |
|    ep_rew_mean          | -0.261      |
| time/                   |             |
|    fps                  | 245         |
|    iterations           | 9           |
|    time_elapsed         | 601         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.020653218 |
|    clip_fraction        | 0.197       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.17       |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0158      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0195     |
|    std                  | 0.773       |
|    value_loss           | 0.0698      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.6        |
|    ep_rew_mean          | -0.467      |
| time/                   |             |
|    fps                  | 244         |
|    iterations           | 10          |
|    time_elapsed         | 669         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.018233493 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
|    explained_variance   | 0.913       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00119    |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0103     |
|    std                  | 0.719       |
|    value_loss           | 0.12        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.6        |
|    ep_rew_mean          | -0.355      |
| time/                   |             |
|    fps                  | 244         |
|    iterations           | 11          |
|    time_elapsed         | 735         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.020100676 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.916       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0186      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00886    |
|    std                  | 0.675       |
|    value_loss           | 0.101       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.3        |
|    ep_rew_mean          | -0.164      |
| time/                   |             |
|    fps                  | 245         |
|    iterations           | 12          |
|    time_elapsed         | 800         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.012738509 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | 0.902       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.102       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0015     |
|    std                  | 0.652       |
|    value_loss           | 0.252       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.7        |
|    ep_rew_mean          | -0.226      |
| time/                   |             |
|    fps                  | 245         |
|    iterations           | 13          |
|    time_elapsed         | 866         |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.010072492 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.983      |
|    explained_variance   | 0.94        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0699      |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.000658    |
|    std                  | 0.643       |
|    value_loss           | 0.281       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.1        |
|    ep_rew_mean          | -1.05       |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 14          |
|    time_elapsed         | 932         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.009681685 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.966      |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.122       |
|    n_updates            | 130         |
|    policy_gradient_loss | 0.000255    |
|    std                  | 0.63        |
|    value_loss           | 0.283       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 22.5       |
|    ep_rew_mean          | -0.905     |
| time/                   |            |
|    fps                  | 246        |
|    iterations           | 15         |
|    time_elapsed         | 997        |
|    total_timesteps      | 245760     |
| train/                  |            |
|    approx_kl            | 0.01096959 |
|    clip_fraction        | 0.11       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.941     |
|    explained_variance   | 0.98       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.101      |
|    n_updates            | 140        |
|    policy_gradient_loss | 0.00152    |
|    std                  | 0.614      |
|    value_loss           | 0.469      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 25         |
|    ep_rew_mean          | -1.39      |
| time/                   |            |
|    fps                  | 246        |
|    iterations           | 16         |
|    time_elapsed         | 1062       |
|    total_timesteps      | 262144     |
| train/                  |            |
|    approx_kl            | 0.01543331 |
|    clip_fraction        | 0.124      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.916     |
|    explained_variance   | 0.984      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.172      |
|    n_updates            | 150        |
|    policy_gradient_loss | 0.000193   |
|    std                  | 0.6        |
|    value_loss           | 0.59       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25.9        |
|    ep_rew_mean          | -1.11       |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 17          |
|    time_elapsed         | 1127        |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.016739594 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.925      |
|    explained_variance   | 0.975       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.539       |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.00307    |
|    std                  | 0.62        |
|    value_loss           | 1.65        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.8        |
|    ep_rew_mean          | -0.381      |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 18          |
|    time_elapsed         | 1193        |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.010396171 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.924      |
|    explained_variance   | 0.965       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.898       |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00122    |
|    std                  | 0.613       |
|    value_loss           | 1.3         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.2        |
|    ep_rew_mean          | 0.166       |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 19          |
|    time_elapsed         | 1258        |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.010593089 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.912      |
|    explained_variance   | 0.962       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.589       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00114    |
|    std                  | 0.6         |
|    value_loss           | 1.34        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25.5        |
|    ep_rew_mean          | -0.309      |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 20          |
|    time_elapsed         | 1323        |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.009092651 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.875      |
|    explained_variance   | 0.932       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0603      |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.000215   |
|    std                  | 0.578       |
|    value_loss           | 0.51        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25.5        |
|    ep_rew_mean          | 0.227       |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 21          |
|    time_elapsed         | 1388        |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.008272576 |
|    clip_fraction        | 0.0971      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.845      |
|    explained_variance   | 0.962       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.296       |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00266    |
|    std                  | 0.558       |
|    value_loss           | 0.942       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 28.9        |
|    ep_rew_mean          | 0.228       |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 22          |
|    time_elapsed         | 1453        |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.011253009 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.795      |
|    explained_variance   | 0.958       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.12        |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00419    |
|    std                  | 0.532       |
|    value_loss           | 0.552       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.4        |
|    ep_rew_mean          | 3.05        |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 23          |
|    time_elapsed         | 1517        |
|    total_timesteps      | 376832      |
| train/                  |             |
|    approx_kl            | 0.009569005 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.761      |
|    explained_variance   | 0.932       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.303       |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00531    |
|    std                  | 0.512       |
|    value_loss           | 0.606       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 53.8       |
|    ep_rew_mean          | 3.24       |
| time/                   |            |
|    fps                  | 248        |
|    iterations           | 24         |
|    time_elapsed         | 1580       |
|    total_timesteps      | 393216     |
| train/                  |            |
|    approx_kl            | 0.01080431 |
|    clip_fraction        | 0.121      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.711     |
|    explained_variance   | 0.85       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.287      |
|    n_updates            | 230        |
|    policy_gradient_loss | -0.0026    |
|    std                  | 0.486      |
|    value_loss           | 0.721      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 58.6         |
|    ep_rew_mean          | 3.75         |
| time/                   |              |
|    fps                  | 249          |
|    iterations           | 25           |
|    time_elapsed         | 1643         |
|    total_timesteps      | 409600       |
| train/                  |              |
|    approx_kl            | 0.0095722815 |
|    clip_fraction        | 0.109        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.677       |
|    explained_variance   | 0.858        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0828       |
|    n_updates            | 240          |
|    policy_gradient_loss | 0.000786     |
|    std                  | 0.475        |
|    value_loss           | 0.686        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 58.8        |
|    ep_rew_mean          | 3.84        |
| time/                   |             |
|    fps                  | 249         |
|    iterations           | 26          |
|    time_elapsed         | 1706        |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.011438942 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.657      |
|    explained_variance   | 0.842       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.44        |
|    n_updates            | 250         |
|    policy_gradient_loss | 0.0034      |
|    std                  | 0.465       |
|    value_loss           | 1.01        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80.4        |
|    ep_rew_mean          | 6.2         |
| time/                   |             |
|    fps                  | 249         |
|    iterations           | 27          |
|    time_elapsed         | 1769        |
|    total_timesteps      | 442368      |
| train/                  |             |
|    approx_kl            | 0.015581734 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.635      |
|    explained_variance   | 0.834       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.764       |
|    n_updates            | 260         |
|    policy_gradient_loss | 0.0035      |
|    std                  | 0.454       |
|    value_loss           | 1.32        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.3        |
|    ep_rew_mean          | 4.18        |
| time/                   |             |
|    fps                  | 250         |
|    iterations           | 28          |
|    time_elapsed         | 1832        |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.018453162 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.609      |
|    explained_variance   | 0.874       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.298       |
|    n_updates            | 270         |
|    policy_gradient_loss | 0.00466     |
|    std                  | 0.441       |
|    value_loss           | 0.801       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 73.2       |
|    ep_rew_mean          | 5.38       |
| time/                   |            |
|    fps                  | 250        |
|    iterations           | 29         |
|    time_elapsed         | 1895       |
|    total_timesteps      | 475136     |
| train/                  |            |
|    approx_kl            | 0.02000865 |
|    clip_fraction        | 0.15       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.59      |
|    explained_variance   | 0.877      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.13       |
|    n_updates            | 280        |
|    policy_gradient_loss | 0.00458    |
|    std                  | 0.438      |
|    value_loss           | 1          |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.7        |
|    ep_rew_mean          | 4.5         |
| time/                   |             |
|    fps                  | 251         |
|    iterations           | 30          |
|    time_elapsed         | 1958        |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.023802025 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.58       |
|    explained_variance   | 0.83        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.476       |
|    n_updates            | 290         |
|    policy_gradient_loss | 0.00322     |
|    std                  | 0.428       |
|    value_loss           | 1.39        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.5        |
|    ep_rew_mean          | 5.03        |
| time/                   |             |
|    fps                  | 251         |
|    iterations           | 31          |
|    time_elapsed         | 2020        |
|    total_timesteps      | 507904      |
| train/                  |             |
|    approx_kl            | 0.023776432 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.544      |
|    explained_variance   | 0.835       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.422       |
|    n_updates            | 300         |
|    policy_gradient_loss | 0.00382     |
|    std                  | 0.413       |
|    value_loss           | 0.975       |
-----------------------------------------
ppo_attn_learned_cf_obs20_dense_v7_seed1 obs shape: (20, 5) action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to runs/tb/ppo_attn_learned_cf_obs20_dense_v7_seed1_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 12       |
|    ep_rew_mean     | -0.838   |
| time/              |          |
|    fps             | 276      |
|    iterations      | 1        |
|    time_elapsed    | 59       |
|    total_timesteps | 16384    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12           |
|    ep_rew_mean          | -0.914       |
| time/                   |              |
|    fps                  | 258          |
|    iterations           | 2            |
|    time_elapsed         | 126          |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0024617563 |
|    clip_fraction        | 0.0134       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.000488     |
|    learning_rate        | 0.0003       |
|    loss                 | 0.037        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.000712    |
|    std                  | 0.992        |
|    value_loss           | 1.1          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.3        |
|    ep_rew_mean          | -0.94       |
| time/                   |             |
|    fps                  | 252         |
|    iterations           | 3           |
|    time_elapsed         | 194         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.014417397 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.45       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00442    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0133     |
|    std                  | 1.04        |
|    value_loss           | 0.0854      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.1        |
|    ep_rew_mean          | -0.755      |
| time/                   |             |
|    fps                  | 250         |
|    iterations           | 4           |
|    time_elapsed         | 261         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.010722306 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.48       |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0181      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0161     |
|    std                  | 1.07        |
|    value_loss           | 0.0653      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.9        |
|    ep_rew_mean          | -0.482      |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 5           |
|    time_elapsed         | 329         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.017685343 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.44       |
|    explained_variance   | 0.995       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00502    |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0242     |
|    std                  | 1.01        |
|    value_loss           | 0.0653      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.1        |
|    ep_rew_mean          | -0.591      |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 6           |
|    time_elapsed         | 396         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.014279805 |
|    clip_fraction        | 0.174       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.4        |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0184      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0182     |
|    std                  | 0.968       |
|    value_loss           | 0.0613      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 14.8       |
|    ep_rew_mean          | -0.481     |
| time/                   |            |
|    fps                  | 247        |
|    iterations           | 7          |
|    time_elapsed         | 464        |
|    total_timesteps      | 114688     |
| train/                  |            |
|    approx_kl            | 0.01639706 |
|    clip_fraction        | 0.2        |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.33      |
|    explained_variance   | 0.995      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00258    |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0221    |
|    std                  | 0.907      |
|    value_loss           | 0.0593     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 15.5       |
|    ep_rew_mean          | -0.41      |
| time/                   |            |
|    fps                  | 246        |
|    iterations           | 8          |
|    time_elapsed         | 531        |
|    total_timesteps      | 131072     |
| train/                  |            |
|    approx_kl            | 0.01961121 |
|    clip_fraction        | 0.203      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.27      |
|    explained_variance   | 0.994      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0248     |
|    n_updates            | 70         |
|    policy_gradient_loss | -0.0217    |
|    std                  | 0.848      |
|    value_loss           | 0.0593     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15.8        |
|    ep_rew_mean          | -0.371      |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 9           |
|    time_elapsed         | 598         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.017978217 |
|    clip_fraction        | 0.183       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.19       |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00315     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0175     |
|    std                  | 0.79        |
|    value_loss           | 0.065       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16          |
|    ep_rew_mean          | -0.424      |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 10          |
|    time_elapsed         | 664         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.015545509 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.14       |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.039       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0139     |
|    std                  | 0.749       |
|    value_loss           | 0.0645      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.9        |
|    ep_rew_mean          | -0.284      |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 11          |
|    time_elapsed         | 731         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.014554165 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0372      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0115     |
|    std                  | 0.711       |
|    value_loss           | 0.065       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.4        |
|    ep_rew_mean          | -1.81       |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 12          |
|    time_elapsed         | 797         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.012576626 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0446      |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0103     |
|    std                  | 0.675       |
|    value_loss           | 0.0788      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.7        |
|    ep_rew_mean          | -0.706      |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 13          |
|    time_elapsed         | 863         |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.005435357 |
|    clip_fraction        | 0.0752      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.278       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.316       |
|    n_updates            | 120         |
|    policy_gradient_loss | 0.001       |
