Loading Anaconda 3 2024.02-1
SCENARIO_NAME=cf_obs15
EXP_VERSION=v8
TOTAL_TIMESTEPS=1000000
N_ENVS=8
ATTN_MODE=learned
X_INDEX=1
VX_INDEX=3
ORACLE_RULE=leader_x
TTC_EPS=1e-6
ppo_attn_learned_cf_obs15_v8_seed2 obs shape: (15, 5) action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to runs/tb/ppo_attn_learned_cf_obs15_v8_seed2_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 14.9     |
|    ep_rew_mean     | 1.37     |
| time/              |          |
|    fps             | 377      |
|    iterations      | 1        |
|    time_elapsed    | 43       |
|    total_timesteps | 16384    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.2         |
|    ep_rew_mean          | 1.41         |
| time/                   |              |
|    fps                  | 345          |
|    iterations           | 2            |
|    time_elapsed         | 94           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0044257636 |
|    clip_fraction        | 0.0327       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | -0.00132     |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0768       |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00177     |
|    std                  | 1.01         |
|    value_loss           | 1.19         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.1        |
|    ep_rew_mean          | 1.64        |
| time/                   |             |
|    fps                  | 336         |
|    iterations           | 3           |
|    time_elapsed         | 146         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.015195485 |
|    clip_fraction        | 0.208       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0611      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0217     |
|    std                  | 0.976       |
|    value_loss           | 0.166       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 17         |
|    ep_rew_mean          | 1.8        |
| time/                   |            |
|    fps                  | 332        |
|    iterations           | 4          |
|    time_elapsed         | 197        |
|    total_timesteps      | 65536      |
| train/                  |            |
|    approx_kl            | 0.01506344 |
|    clip_fraction        | 0.198      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.41      |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.022      |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0248    |
|    std                  | 0.996      |
|    value_loss           | 0.135      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.6        |
|    ep_rew_mean          | 2.17        |
| time/                   |             |
|    fps                  | 330         |
|    iterations           | 5           |
|    time_elapsed         | 247         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.024124373 |
|    clip_fraction        | 0.268       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.36       |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.111       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0329     |
|    std                  | 0.928       |
|    value_loss           | 0.148       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 27.8        |
|    ep_rew_mean          | 0.693       |
| time/                   |             |
|    fps                  | 331         |
|    iterations           | 6           |
|    time_elapsed         | 296         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.019988537 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.3        |
|    explained_variance   | 0.705       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.14        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00816    |
|    std                  | 0.872       |
|    value_loss           | 0.88        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 40.7        |
|    ep_rew_mean          | -1.1        |
| time/                   |             |
|    fps                  | 333         |
|    iterations           | 7           |
|    time_elapsed         | 344         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.015007349 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.24       |
|    explained_variance   | 0.527       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.19        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00713    |
|    std                  | 0.823       |
|    value_loss           | 1.23        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.9        |
|    ep_rew_mean          | -1.51       |
| time/                   |             |
|    fps                  | 334         |
|    iterations           | 8           |
|    time_elapsed         | 391         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.008289389 |
|    clip_fraction        | 0.0939      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.22       |
|    explained_variance   | 0.747       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.966       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00783    |
|    std                  | 0.822       |
|    value_loss           | 2.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 82.6        |
|    ep_rew_mean          | 5.78        |
| time/                   |             |
|    fps                  | 336         |
|    iterations           | 9           |
|    time_elapsed         | 438         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.014997928 |
|    clip_fraction        | 0.203       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.2        |
|    explained_variance   | 0.913       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.5         |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0205     |
|    std                  | 0.796       |
|    value_loss           | 3.46        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
